,Instance,Income
0,111994.0,29854.255037799994
1,111995.0,18220.81414741999
2,111996.0,40465.00512799999
3,111997.0,161606.90766179995
4,111998.0,33884.5411838
5,111999.0,77234.32443440001
6,112000.0,97465.98126739997
7,112001.0,63528.04229800003
8,112002.0,39349.43735059999
9,112003.0,145774.07226100002
10,112004.0,21314.361467919996
11,112005.0,144303.6310156
12,112006.0,33513.7317374
13,112007.0,117819.83608739996
14,112008.0,292275.654422
15,112009.0,60050.149018200005
16,112010.0,42527.30819880001
17,112011.0,31724.51997420001
18,112012.0,18432.464945280008
19,112013.0,15222.329118880003
20,112014.0,149550.81022900005
21,112015.0,50277.02001219999
22,112016.0,170537.6030652
23,112017.0,32592.629135200008
24,112018.0,193586.58213060003
25,112019.0,53253.01437840001
26,112020.0,48070.55139139999
27,112021.0,41152.42699579999
28,112022.0,109151.87251100002
29,112023.0,68249.04131819999
30,112024.0,30430.633193
31,112025.0,86306.70556740003
32,112026.0,117715.63270740003
33,112027.0,57636.236426399984
34,112028.0,94626.39687100002
35,112029.0,65181.34795700001
36,112030.0,245179.18220859996
37,112031.0,221485.67772479999
38,112032.0,230730.99879600006
39,112033.0,161674.76683860004
40,112034.0,359860.0827300001
41,112035.0,100849.21381460002
42,112036.0,188381.52914300005
43,112037.0,101850.7283328
44,112038.0,177593.6546686
45,112039.0,44033.29852959998
46,112040.0,50422.54224900002
47,112041.0,64679.150736999996
48,112042.0,38710.24817259998
49,112043.0,76994.0815342
50,112044.0,60394.98876119998
51,112045.0,24370.574967820008
52,112046.0,232412.28691039997
53,112047.0,36963.12300780001
54,112048.0,29896.70092780001
55,112049.0,91568.22809760002
56,112050.0,50960.323046999976
57,112051.0,94412.42697840002
58,112052.0,88916.84231980001
59,112053.0,219192.60670720003
60,112054.0,70735.8828364
61,112055.0,25756.37693319999
62,112056.0,87003.23937540004
63,112057.0,30208.313821199998
64,112058.0,23634.732351479997
65,112059.0,60002.55273700002
66,112060.0,322316.61655200005
67,112061.0,206822.21178400007
68,112062.0,164159.71784199998
69,112063.0,52986.73561560003
70,112064.0,32278.771498379996
