,Instance,Income
0,111994.0,28749.744674293575
1,111995.0,136551.4470965015
2,111996.0,51126.393351810046
3,111997.0,139732.63002505116
4,111998.0,30151.005810342318
5,111999.0,105495.71985538998
6,112000.0,106264.20633941259
7,112001.0,300600.46458141867
8,112002.0,49096.07033927343
9,112003.0,111568.02480036255
10,112004.0,960.0645255347235
11,112005.0,117086.94976814413
12,112006.0,35519.82762040927
13,112007.0,121010.20135054117
14,112008.0,244084.28819374993
15,112009.0,72661.97594140835
16,112010.0,45090.289500693725
17,112011.0,32387.155604436517
18,112012.0,25902.382807559465
19,112013.0,24193.190639665547
20,112014.0,139161.2300716797
21,112015.0,54414.946085013806
22,112016.0,95512.70625971621
23,112017.0,34928.45637730114
24,112018.0,179356.86380070142
25,112019.0,60247.08686684709
26,112020.0,43341.1777275204
27,112021.0,35668.48723845219
28,112022.0,94578.9763954236
29,112023.0,85640.49033979159
30,112024.0,31162.074595859165
31,112025.0,107485.73687548228
32,112026.0,165735.958817139
33,112027.0,71329.30557724622
34,112028.0,56870.54618376071
35,112029.0,65215.70745132817
36,112030.0,156175.7452027426
37,112031.0,195381.5901732847
38,112032.0,186655.36255851766
39,112033.0,84775.2935609979
40,112034.0,276516.66801176267
41,112035.0,96990.70090965697
42,112036.0,145299.76161082226
43,112037.0,129057.71173170886
44,112038.0,147103.29401709346
45,112039.0,53740.76919310518
46,112040.0,85326.90090737942
47,112041.0,89337.13811540016
48,112042.0,40798.43276938489
49,112043.0,77905.02719626871
50,112044.0,53250.81982860708
51,112045.0,23399.97007448452
52,112046.0,218639.99688355255
53,112047.0,54978.20279417706
54,112048.0,23719.913557999167
55,112049.0,83725.30860111094
56,112050.0,75416.70304637063
57,112051.0,84673.72717820344
58,112052.0,117199.57505820863
59,112053.0,206180.0750500173
60,112054.0,75019.91968240957
61,112055.0,28358.293322034675
62,112056.0,110369.76788030812
63,112057.0,38083.6201129868
64,112058.0,57219.58751026323
65,112059.0,55106.706327553045
66,112060.0,301975.9681623844
67,112061.0,140996.90691360206
68,112062.0,168250.4573550409
69,112063.0,75178.6156131817
70,112064.0,28575.48651789167
71,112065.0,65741.71196790763
72,112066.0,15548.515170210389
73,112067.0,118166.99707847774
74,112068.0,90591.259926572
75,112069.0,186397.54487509956
76,112070.0,558513.1940333425
77,112071.0,54492.05651734064
78,112072.0,77263.32072415708
79,112073.0,44432.65574847421
80,112074.0,28933.825613760328
81,112075.0,26428.376537722677
82,112076.0,101683.38974332754
83,112077.0,654511.7352943043
84,112078.0,9660.32653630741
85,112079.0,157086.41027599786
86,112080.0,191833.14964946543
87,112081.0,798171.3585668016
88,112082.0,40884.35767516998
89,112083.0,45161.12373186569
90,112084.0,27333.663588783285
91,112085.0,59204.60582176663
92,112086.0,28991.38502113958
93,112087.0,71835.54888713484
94,112088.0,112198.49844217117
95,112089.0,98167.38760038461
96,112090.0,171893.56673475183
97,112091.0,58762.94046465683
98,112092.0,51802.87295767171
99,112093.0,69780.56796565437
100,112094.0,42521.867948723375
101,112095.0,57370.19819118481
102,112096.0,116840.59899152094
